idx,family,total_score,predicted_mean_abs_u_informative,predicted_median_abs_u_informative,predicted_frac_informative_ge_5e3,mean_abs_target_gap_norm,informative_stage_frac,mean_abs_u_pred,frac_u_ge_5e3,error
156,taxi_bonus,-1.78260980,0.00116348,0.00116348,0.00000000,0.00004481,0.10000000,0.00037340,0.00000000,
157,taxi_bonus,-1.78260980,0.00116348,0.00116348,0.00000000,0.00004481,0.10000000,0.00037340,0.00000000,
158,taxi_bonus,-1.78080670,0.00116348,0.00116348,0.00000000,0.00004775,0.10000000,0.00037340,0.00000000,
159,taxi_bonus,-1.78080670,0.00116348,0.00116348,0.00000000,0.00004775,0.10000000,0.00037340,0.00000000,
160,taxi_bonus,-1.77228340,0.00116348,0.00116348,0.00000000,0.00006164,0.10000000,0.00037340,0.00000000,
161,taxi_bonus,-1.77228340,0.00116348,0.00116348,0.00000000,0.00006164,0.10000000,0.00037340,0.00000000,
162,taxi_bonus,-1.79505638,0.00116348,0.00116348,0.00000000,0.00002451,0.10000000,0.00032936,0.00000000,
163,taxi_bonus,-1.79505638,0.00116348,0.00116348,0.00000000,0.00002451,0.10000000,0.00032936,0.00000000,
164,taxi_bonus,-1.79353902,0.00116348,0.00116348,0.00000000,0.00002699,0.10000000,0.00032936,0.00000000,
165,taxi_bonus,-1.79353902,0.00116348,0.00116348,0.00000000,0.00002699,0.10000000,0.00032936,0.00000000,
166,taxi_bonus,-1.78572352,0.00116348,0.00116348,0.00000000,0.00003973,0.10000000,0.00032936,0.00000000,
167,taxi_bonus,-1.78572352,0.00116348,0.00116348,0.00000000,0.00003973,0.10000000,0.00032936,0.00000000,
