idx,family,total_score,mean_abs_u_pred,frac_u_ge_5e3,informative_stage_frac,mean_abs_delta_d_pred,reward_bound,horizon,gamma,error,cfg
24,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
25,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.2, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 1.0}"
26,shaped_chain,0.9217351396583482,0.0013045725480844196,0.10714285714285714,0.2857142857142857,0.0006355609849642045,1.0,30,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 30, ""gamma"": 0.95, ""reward_bound"": 1.0}"
27,shaped_chain,-1.4913300339856173,0.0006489753723144531,0.05,0.1,0.0003195462493121926,2.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
28,shaped_chain,-1.5231405389393327,0.0006527900695800781,0.05,0.1,0.0003180259313338842,2.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
29,shaped_chain,-3.8998874623118898,0.0002942085266113281,0.05,0.05,0.0001448640968593849,1.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
30,shaped_chain,-1.4676096756580563,0.0006527900695800781,0.05,0.1,0.00032142455202673894,2.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.05, ""reward_interval"": 5, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
31,shaped_chain,-1.5445722877884023,0.0006489753723144531,0.05,0.1,0.000316167489076272,2.0,20,0.95,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.95, ""reward_bound"": 2.0}"
32,shaped_chain,-5.467654224189967,0.0,0.0,0.0,0.0,1.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 1.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 1.0}"
33,shaped_chain,-1.4668140694784964,0.0006489753723144531,0.05,0.1,0.0003195462493121926,2.0,20,0.97,,"{""family"": ""shaped_chain"", ""n_states"": 20, ""intermediate_reward"": 0.1, ""reward_interval"": 3, ""terminal_reward"": 2.0, ""horizon"": 20, ""gamma"": 0.97, ""reward_bound"": 2.0}"
