cell,gamma,method,n_seeds,auc_return_mean,auc_return_std,alignment_last200_mean,alignment_last200_std,d_eff_last200_mean,d_eff_last200_std,bellman_final200_mean,bellman_final200_std,delta_auc_vs_vanilla,delta_auc_ci_lo,delta_auc_ci_hi,delta_alignment_vs_vanilla,delta_alignment_ci_lo,delta_alignment_ci_hi,divergence_event_runs
AC-Trap,0.8000,ac_ucb_tx,5,529004.6,380.62191213854203,0.0,0.0,0.8000000000000002,0.0,0.011470598110737746,0.003689430820060763,0.4,0.0,1.2,0.0,0.0,0.0,0
AC-Trap,0.8000,ac_ucb_tx_bkt,5,529004.6,380.62191213854203,0.0,0.0,0.8000000000000002,0.0,0.011470598110737746,0.003689430820060763,0.4,0.0,1.2,0.0,0.0,0.0,0
AC-Trap,0.8000,contraction_UCB_beta,5,462395.2,44338.64598022813,0.5255500000000001,0.3904794296758794,0.9148196720229809,0.6132834401625618,133.13678475378532,176.8914587631881,-66609.0,-105713.6,-29067.13000000022,0.5255500000000001,0.19625000000000004,0.8548500000000001,0
AC-Trap,0.8000,fixed_beta_-0.5,5,528902.6,446.04062595239014,0.9006000000000002,0.00043588989435401935,0.28418620288493307,0.0003827694577889886,0.016683966904864008,0.005302244759418593,-101.6,-191.6,0.4,0.9006000000000002,0.9002500000000001,0.9009500000000001,0
AC-Trap,0.8000,return_UCB_beta,5,526790.0,2460.6847827383335,0.7110000000000001,0.355985884551621,0.4095583394265484,0.21195860262710714,0.015188768982266097,0.0028741349875122273,-2214.2,-4204.245,-518.8,0.7110000000000001,0.3508,0.9007500000000002,0
AC-Trap,0.8000,vanilla,5,529004.2,380.58029376203916,0.0,0.0,0.8000000000000002,0.0,0.01147059917591298,0.0036894309568813156,nan,nan,nan,nan,nan,nan,0
AC-Trap,0.9500,ac_ucb_ep,5,529096.4,412.23323495322404,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.01146921370037229,0.003689235023812532,0.0,0.0,0.0,0.0,0.0,0.0,0
AC-Trap,0.9500,ac_ucb_ep_bkt,5,529096.4,412.23323495322404,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.01146921370037229,0.003689235023812532,0.0,0.0,0.0,0.0,0.0,0.0,0
AC-Trap,0.9500,ac_ucb_tx,5,529096.4,412.23323495322404,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.01146921370037229,0.003689235023812532,0.0,0.0,0.0,0.0,0.0,0.0,0
AC-Trap,0.9500,ac_ucb_tx_bkt,5,529096.4,412.23323495322404,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.01146921370037229,0.003689235023812532,0.0,0.0,0.0,0.0,0.0,0.0,0
AC-Trap,0.9500,contraction_UCB_beta,5,418647.2,13972.297826771372,0.05355,0.008981091247727087,1.803298707363258,0.0073616584446053665,1567.526466804179,1554.8960482441735,-110449.2,-122059.2,-98820.0950000001,0.05355,0.048799999999999996,0.06255000000000001,0
AC-Trap,0.9500,fixed_beta_-0.5,5,528912.8,460.67793522156023,0.9006000000000002,0.00043588989435401935,0.2772673534402974,0.0003013991769738344,0.018270912732519545,0.0057895496748463305,-183.6,-282.6,-84.6,0.9006000000000002,0.9002500000000001,0.9009500000000001,0
AC-Trap,0.9500,return_UCB_beta,5,512465.6,18085.00600608139,0.5503500000000001,0.42953523138387617,0.8817082459320966,0.4547152963004977,3.622736592095445,7.213886658674126,-16630.8,-33966.839999999975,-5114.6,0.5503500000000001,0.19005000000000005,0.9009000000000003,0
AC-Trap,0.9500,vanilla,5,529096.4,412.23323495322404,0.0,0.0,0.9499999999999996,1.1102230246251565e-16,0.011469220160549281,0.0036892355535162783,nan,nan,nan,nan,nan,nan,0
AC-Trap,0.9900,ac_ucb_ep,5,529097.6,369.4599301683472,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.01146804630039367,0.0036890510851075725,-3.6,-10.8,0.0,0.0,0.0,0.0,0
AC-Trap,0.9900,ac_ucb_ep_bkt,5,529097.6,369.4599301683472,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.01146804630039367,0.0036890510851075725,-3.6,-10.8,0.0,0.0,0.0,0.0,0
AC-Trap,0.9900,ac_ucb_tx,5,529097.6,369.4599301683472,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.01146804630039367,0.0036890510851075725,-3.6,-10.8,0.0,0.0,0.0,0.0,0
AC-Trap,0.9900,ac_ucb_tx_bkt,5,529097.6,369.4599301683472,0.0,0.0,0.9899999999999999,1.1102230246251565e-16,0.01146804630039367,0.0036890510851075725,-3.6,-10.8,0.0,0.0,0.0,0.0,0
AC-Trap,0.9900,contraction_UCB_beta,5,435072.4,31075.210220366975,0.3812000000000001,0.4051011725482908,1.2694467544407484,0.7175386979136497,1515.4378553208476,1434.3767038609049,-94028.8,-117804.2,-63480.6,0.3812000000000001,0.0502,0.7208500000000001,5
