stage,game,cell,method,beta,gamma,seed,is_baseline,return_AUC,headline_AUC,return_last200,align_last200,q_abs_max_max,divergence_event_sum
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,1,False,9742.0,9742.0,1.11,0.06525,147282.31031469992,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,8,False,6440.0,6440.0,0.76,0.06425,148488.71775573186,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,9,False,6002.0,6002.0,2.24,0.06625,145225.3324496998,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,0,False,7096.0,7096.0,2.73,0.06000000000000001,146113.79010222352,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.7,1.7,0.95,7,False,7740.0,7740.0,2.21,0.06375,151971.2891444107,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,2,False,26914.0,26914.0,4.14,0.09375,6669.382942289405,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,5,False,27948.0,27948.0,3.77,0.08800000000000001,7801.9035857244,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,4,False,26230.0,26230.0,3.43,0.0895,7316.525867557601,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,3,False,28326.0,28326.0,5.49,0.086,6832.804498523864,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,6,False,24570.0,24570.0,3.42,0.09625,7311.233261302687,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,1,False,25622.0,25622.0,4.45,0.09275,7903.157469679216,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,8,False,27886.0,27886.0,2.47,0.09,7284.738532530163,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,9,False,30336.0,30336.0,4.23,0.08975,7193.999759072618,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,0,False,28874.0,28874.0,3.89,0.0915,6731.0755314952785,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+0.35,0.35,0.95,7,False,27112.0,27112.0,4.49,0.092,7107.884621161729,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,2,False,9042.0,9042.0,2.19,0.07325,111227.36397135124,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,5,False,13088.0,13088.0,1.68,0.06425,110960.4444674928,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,4,False,7082.0,7082.0,-0.39,0.06675,112350.80527960656,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,3,False,10724.0,10724.0,2.14,0.07050000000000001,107331.94865529264,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,6,False,15724.0,15724.0,0.53,0.075,113525.7555312167,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,1,False,11862.0,11862.0,0.81,0.06775,113605.98648779142,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,8,False,11330.0,11330.0,1.4,0.06575,114900.62694568836,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,9,False,11902.0,11902.0,1.22,0.0695,112222.12643790606,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,0,False,11154.0,11154.0,1.18,0.065,111545.22414202221,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_+1.35,1.35,0.95,7,False,11630.0,11630.0,1.61,0.066,115717.26384040694,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,2,False,55658.0,55658.0,7.37,0.8885000000000001,4.7268906420814405,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,5,False,56614.0,56614.0,7.7,0.9,4.978482785192658,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,4,False,55580.0,55580.0,7.42,0.885,4.7067302783693705,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,3,False,56232.0,56232.0,7.71,0.902,4.973480536582794,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,6,False,56138.0,56138.0,7.12,0.87375,4.8812160930420125,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,1,False,56358.0,56358.0,8.02,0.887,4.809438632566898,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,8,False,56826.0,56826.0,7.82,0.89,5.008408823351606,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,9,False,57062.0,57062.0,8.2,0.8905000000000001,4.9786864145313245,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,0,False,56476.0,56476.0,7.98,0.8895000000000001,4.766038339310199,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.05,-0.05,0.95,7,False,55794.0,55794.0,7.66,0.8845000000000001,4.753803063726751,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.35,-0.35,0.95,2,False,55812.0,55812.0,7.32,0.8665,3.1396499846680235,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.35,-0.35,0.95,5,False,56732.0,56732.0,7.71,0.8742500000000001,3.1976951591920972,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.35,-0.35,0.95,4,False,55760.0,55760.0,7.48,0.85875,3.009621659688947,0
m7_1_tier2_tab_redispatch_10seeds,rules_of_road,RR-StationaryConvention,fixed_beta_-0.35,-0.35,0.95,3,False,56468.0,56468.0,7.77,0.8797499999999999,3.1807435170621443,0
