cell,gamma,source,best_beta,best_method,best_auc_mean,vanilla_auc_mean,paired_d_cohen,paired_bootstrap_auc_advantage_mean,paired_bootstrap_auc_advantage_ci_lower,paired_bootstrap_auc_advantage_ci_upper,align_at_best_beta_final,align_at_best_beta_last200,h1_confirms,h2_evaluable,h2_ratio,h3_confirms
SO-Coordination,0.9,tier3,1.0,fixed_beta_+1.0,66843.9,66786.6,0.33106188020036226,58.379645,-83.7,218.4,0.08,0.05159999999999998,False,False,,False
SO-Coordination,0.95,tier1,-0.35,fixed_beta_-0.35,66776.25,66668.0,0.611986235577731,108.5989475,-27.10125,237.75124999999989,0.89,0.900225,False,False,,True
SO-TypeSwitch,0.6,tier3,1.0,fixed_beta_+1.0,74131.3,73042.7,3.1264251116961206,1088.27806,746.6,1477.1,0.15,0.10289999999999999,False,False,,False
SO-TypeSwitch,0.8,tier3,0.0,vanilla,73405.1,73405.1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SO-TypeSwitch,0.9,tier3,0.0,vanilla,73570.1,73570.1,0.0,0.0,0.0,0.0,0.0,0.0,False,False,,False
SO-TypeSwitch,0.95,tier1,0.1,fixed_beta_+0.1,73914.95,73541.65,1.0090816557744375,373.58445,183.395,604.4049999999995,0.08499999999999999,0.07367499999999999,False,False,,False
SO-ZeroSum,0.6,tier3,2.0,fixed_beta_+2.0,287.3,251.8,0.0737834171361849,35.280205,-177.8,332.2,0.12000000000000002,0.11334999999999999,False,False,,False
SO-ZeroSum,0.8,tier3,-1.0,fixed_beta_-1.0,296.2,83.0,0.5533837387605378,213.040675,-44.2,489.2,0.19,0.16465,False,False,,False
SO-ZeroSum,0.9,tier3,1.0,fixed_beta_+1.0,362.5,206.6,0.6169217550575685,156.308765,9.0,299.3,0.11000000000000001,0.10455,False,False,,False
SO-ZeroSum,0.95,tier1,-0.75,fixed_beta_-0.75,291.75,290.4,0.004123851366266223,2.0804625,-185.25125,183.31124999999903,0.13499999999999998,0.1404,False,False,,False
