stage,game,subcase,method,beta,gamma,seed,headline_metric,AUC,return_AUC,bellman_residual_AUC,align_final,align_last200,q_abs_max_final,q_abs_max_max,divergence_event_sum,return_final,return_last200,diverged
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,3,cumulative_return_auc,521423.5,521423.5,146446.20795230765,0.9,0.9007500000000002,10.158220630884028,11.013816134031524,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,4,cumulative_return_auc,521106.5,521106.5,147717.9051918211,0.9,0.9015000000000001,9.81522250965249,11.104585125571615,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,5,cumulative_return_auc,523184.5,523184.5,145932.37603554165,0.9,0.9020000000000001,11.209860120757282,11.229294758073186,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,6,cumulative_return_auc,522360.5,522360.5,144547.91903051076,0.9,0.9012500000000003,9.806937421862203,11.191090596794401,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,7,cumulative_return_auc,521932.5,521932.5,145971.28985616585,0.9,0.9017500000000003,11.2049856151404,11.209136915531165,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,8,cumulative_return_auc,520759.5,520759.5,147177.78356170206,0.9,0.9025000000000003,9.823471092391753,10.531549319788908,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.75,-0.75,0.95,9,cumulative_return_auc,520863.0,520863.0,145413.20723769005,0.9,0.9017500000000002,10.995903070580006,11.069628021628583,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,0,cumulative_return_auc,521282.5,521282.5,146567.54119398716,0.9,0.9007500000000002,11.1737574031419,11.634373671924864,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,1,cumulative_return_auc,523302.0,523302.0,142851.53757269107,0.9,0.9015000000000002,11.966134039215076,12.031817932188918,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,2,cumulative_return_auc,522083.0,522083.0,145416.97551072048,0.9,0.9002500000000002,11.525672563200333,11.652590886079867,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,3,cumulative_return_auc,522134.5,522134.5,146011.98861333384,0.9,0.9007500000000002,11.08265083541683,11.888510946529761,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,4,cumulative_return_auc,521265.5,521265.5,144434.47731231808,0.9,0.9015000000000001,10.993331780821995,11.69968236584209,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,5,cumulative_return_auc,523201.5,523201.5,145144.52891154002,0.9,0.9020000000000001,11.92122874174765,11.928199736403577,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,6,cumulative_return_auc,522649.5,522649.5,145589.65076352438,0.9,0.9012500000000003,10.986617939876552,11.817039357502585,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,7,cumulative_return_auc,522361.5,522361.5,144172.30167340257,0.9,0.9017500000000003,11.953677249448221,11.953677249448221,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,8,cumulative_return_auc,520929.5,520929.5,146165.64633986168,0.9,0.9025000000000003,11.318506908151296,11.327544150876365,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.5,-0.5,0.95,9,cumulative_return_auc,520527.0,520527.0,145317.19242811616,0.9,0.9017500000000002,11.531768911217961,11.689354025397305,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,0,cumulative_return_auc,521175.5,521175.5,144387.18198641372,0.9,0.9007500000000002,11.93377853794923,12.583996802861408,0,57.0,58.335,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,1,cumulative_return_auc,523225.0,523225.0,142253.36710774433,0.9,0.9015000000000002,12.500421189712291,12.739751645856295,0,60.0,58.59,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,2,cumulative_return_auc,522187.0,522187.0,143962.14778725605,0.9,0.9002500000000002,12.29005765324819,12.791901535042204,0,57.0,58.575,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,3,cumulative_return_auc,522437.5,522437.5,145354.99910220894,0.9,0.9007500000000002,12.241980377911167,12.73448107796315,0,54.0,58.38,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,4,cumulative_return_auc,520525.5,520525.5,148083.47876122597,0.9,0.9015000000000001,11.173515680730453,12.084293522420538,0,60.0,58.86,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,5,cumulative_return_auc,523448.5,523448.5,144384.76855953637,0.9,0.9020000000000001,12.741431132926145,12.79517607259325,0,60.0,58.455,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,6,cumulative_return_auc,522916.5,522916.5,145398.9119326686,0.9,0.9012500000000003,12.774754208176653,12.774754208176653,0,60.0,58.53,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,7,cumulative_return_auc,521938.5,521938.5,144046.21534603968,0.9,0.9017500000000003,12.097067283725584,12.52795691966566,0,60.0,58.635,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,8,cumulative_return_auc,521593.5,521593.5,144413.19680586687,0.9,0.9025000000000003,12.37467978147989,12.497098203853712,0,60.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.35,-0.35,0.95,9,cumulative_return_auc,521411.0,521411.0,144163.78208892327,0.9,0.9017500000000002,12.72409109262923,12.987364742449126,0,57.0,58.425,False
tier1,asymmetric_coordination,AC-FictitiousPlay,fixed_beta_-0.2,-0.2,0.95,0,cumulative_return_auc,521238.5,521238.5,142927.59980107908,0.9,0.9007500000000002,13.401151504562769,13.823175641455535,0,57.0,58.335,False
